tax_id,superkingdom,phylum,class,order,family,genus,species,clade,clade1,clade10,clade11,clade12,clade13,clade2,clade3,clade4,clade5,clade6,clade7,clade8,clade9,forma specialis,forma specialis1,isolate,kingdom,no rank,no rank1,no rank2,no rank3,section,serogroup,serotype,species group,species subgroup,strain,subclass,subfamily,subgenus,suborder,subphylum,subspecies
9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
10,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
13,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
18,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
20,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
22,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
24,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
29,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
31,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
32,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
34,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
35,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus macrosporus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
39,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
43,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
48,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium gephyra,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Cystobacterineae,delta/epsilon subdivisions,
49,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Sorangiineae,delta/epsilon subdivisions,
52,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces crocatus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Sorangiineae,delta/epsilon subdivisions,
56,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,Sorangiineae,delta/epsilon subdivisions,
63,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla filiformis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
68,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
69,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
75,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
81,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
85,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Stella,Stella humosa,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
105,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
107,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
112,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,,,,PVC group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
113,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,,PVC group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
114,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata obscuriglobus,PVC group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
