assembly_accession,assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,"relation_to_type_material
",filepath
GCF_000007085.1,GCF_000007085.1,PRJNA224116,SAMN02603009,,representative genome,273068,911092,Caldanaerobacter subterraneus subsp. tengcongensis MB4,strain=MB4,,latest,Complete Genome,Major,Full,2002/05/14,ASM708v1,Beijing Center.HGP,GCA_000007085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/085/GCF_000007085.1_ASM708v1,,"assembly from type material
",GCF_000007085.1_ASM708v1_genomic.gbff
GCF_000007725.1,GCF_000007725.1,PRJNA224116,SAMN02604289,,representative genome,224915,9,Buchnera aphidicola str. Bp (Baizongia pistaciae),strain=Bp (Baizongia pistaciae),,latest,Complete Genome,Major,Full,2003/01/29,ASM772v1,Valencia Univ.,GCA_000007725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1,,"
",GCF_000007725.1_ASM772v1_genomic.gbff
GCF_000008365.1,GCF_000008365.1,PRJNA224116,SAMN03081417,,representative genome,267748,2118,Mycoplasma mobile 163K,strain=163K,,latest,Complete Genome,Major,Full,2004/05/18,ASM836v1,Broad Institute,GCA_000008365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/365/GCF_000008365.1_ASM836v1,,"assembly from type material
",GCF_000008365.1_ASM836v1_genomic.gbff
GCF_000008485.1,GCF_000008485.1,PRJNA224116,SAMN02603156,,na,272624,446,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,strain=Philadelphia 1,,latest,Complete Genome,Major,Full,2004/09/24,ASM848v1,Columbia Genome Center,GCA_000008485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1,,"assembly from type material
",GCF_000008485.1_ASM848v1_genomic.gbff
GCF_000009145.1,GCF_000009145.1,PRJNA224116,SAMEA3138193,,representative genome,228410,915,Nitrosomonas europaea ATCC 19718,strain=ATCC 19718,,latest,Complete Genome,Major,Full,2003/05/06,ASM914v1,DOE Joint Genome Institute,GCA_000009145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/145/GCF_000009145.1_ASM914v1,,"
",GCF_000009145.1_ASM914v1_genomic.gbff
GCF_000009745.1,GCF_000009745.1,PRJNA224116,SAMD00061075,,na,196600,672,Vibrio vulnificus YJ016,strain=YJ016,,latest,Complete Genome,Major,Full,2003/10/03,ASM974v1,"NHRI, Taiwan",GCA_000009745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/745/GCF_000009745.1_ASM974v1,,"
",GCF_000009745.1_ASM974v1_genomic.gbff
GCF_000009805.1,GCF_000009805.1,PRJNA224116,SAMD00061069,,na,247156,37329,Nocardia farcinica IFM 10152,strain=IFM 10152,,latest,Complete Genome,Major,Full,2004/10/08,ASM980v1,"Department of Bioactive Molecules, National Institute of Infectious Diseases",GCA_000009805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/805/GCF_000009805.1_ASM980v1,,"
",GCF_000009805.1_ASM980v1_genomic.gbff
GCF_000010305.1,GCF_000010305.1,PRJNA224116,SAMD00060909,,representative genome,379066,173480,Gemmatimonas aurantiaca T-27,strain=T-27,,latest,Complete Genome,Major,Full,2009/04/01,ASM1030v1,National Institute of Technology and Evaluation,GCA_000010305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/305/GCF_000010305.1_ASM1030v1,,"assembly from type material
",GCF_000010305.1_ASM1030v1_genomic.gbff
GCF_000010325.1,GCF_000010325.1,PRJNA224116,SAMD00060914,,na,387092,387092,Nitratiruptor sp. SB155-2,strain=SB155-2,,latest,Complete Genome,Major,Full,2007/07/11,ASM1032v1,Japan Agency for Marine-Earth Science and Technology,GCA_000010325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/325/GCF_000010325.1_ASM1032v1,,"
",GCF_000010325.1_ASM1032v1_genomic.gbff
GCF_000010365.1,GCF_000010365.1,PRJNA224116,SAMD00061085,,na,387662,114186,Candidatus Carsonella ruddii PV,strain=PV,,latest,Complete Genome,Major,Full,2006/10/16,ASM1036v1,Kitasato Institute for Life Sciences,GCA_000010365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/365/GCF_000010365.1_ASM1036v1,,"
",GCF_000010365.1_ASM1036v1_genomic.gbff
